SurveyYear,OutputFileName,Section,FinalDocName,FinalVariableDescription,ResponseCode,ResponseText,Question,Type,RecodeFlag,VariableName,Instrument Out Variable Name,FinalItemText,FinalDocUniverse,FinalDocUniverseDescription,DocSources,DocRecodes,DocKeywords,DocNotes,Qbank
2017,Sample Adult,HHC,,Race coded to single/multiple race group,02,Black/African American,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,03,"Indian (American), Alaska Native",,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,09,Asian Indian,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,10,Chinese,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,11,Filipino,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,15,Other Asian*,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,16,Primary race not releasable**,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,17,"Multiple race, no primary race selected",,,,,,,,,,,,,
2017,Sample Adult,HHC,MRACBPI2,Race coded to single/multiple race group,,,HHC.200_01.000,R22,RECODE,,,Recode,AGE = All,All persons,HHC.200; HHC.220,None,race; old OMB race standards; bridge variable,"MRACBPI2 creates a bridge between the old (MRACE_P in 1997 and 1998) and the new OMB race standards (MRACER_P in 1999, MRACRP_I in 2000, 2001 and 2002, and MRACRPI2 in 2003 and beyond). Data came from HHC.200 and HHC.220. If only one valid race was given,",
2017,Sample Adult,HHC,,Race coded to single/multiple race group,01,White,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,02,Black/African American,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,03,"Indian (American) (includes Eskimo, Aleut)",,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,06,Chinese,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,07,Filipino,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,12,Asian Indian,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,16,Other race*,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Race coded to single/multiple race group,17,"Multiple race, no primary race selected",,,,,,,,,,,,,
2017,Sample Adult,HHC,AGE,AGE,,,HHC.420_00.000,, ,AGE,AGE1 - AGE25,"What is {Person}'s age and date of birth?  Please give month, day, and year for the date of birth.",ALL,All persons,None,R_AGE1; R_AGE2,age,"Not for public-use release.  In most cases, data on age came from HHC.120.  Because age is an important variable for instrument check items and in developing the weights, all respondents must have data on age.  A series of questions in the instrument from",
2017,Sample Adult,HHC,,AGE,000,Under 1 year,,,,,,,,,,,,,
2017,Sample Adult,HHC,,AGE,001-120,Number of years,,,,,,,,,,,,,
2017,Sample Adult,HHC,,AGE,998,Not ascertained,,,,,,,,,,,,,
2017,Sample Adult,HHC,AGE_P,Age,,,HHC.420_00.000,R01,RECODE,,,Recode,AGE = All,All persons,AGE,None,age,"In most cases, data on age came from HHC.120.  Because age is an important variable for instrument check items and in developing the weights, all respondents must have data on age.  A series of questions in the instrument from HHC.124 through HHC.165 atte",
2017,Sample Adult,HHC,,Age,00,Under 1 year,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Age,01-84,1-84 years,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Age,85,85+ years,,,,,,,,,,,,,
2017,Sample Adult,FID,R_MARITL,Marital Status,,,FID.250_00.000,, ,MARITAL,MS1-MS25,"[Are/Is][you/person] now married, widowed, divorced, separated, never married, or living with a partner?",AGE = All,All persons aged 14 or older,MARITAL; SPOUS; AGE,None,marital status,None,Test:               Find testing evaluation report at https://wwwn.cdc.gov/qbank/Surveys/NHIS.aspx
2017,Sample Adult,FID,,Marital Status,0,Under 14 years,,,,,,,,,,,,,
2017,Sample Adult,FID,,Marital Status,1,Married - spouse in household,,,,,,,,,,,,,
2017,Sample Adult,FID,,Marital Status,2,Married - spouse not in household,,,,,,,,,,,,,
2017,Sample Adult,FID,,Marital Status,3,Married - spouse in household unknown,,,,,,,,,,,,,
2017,Sample Adult,FID,,Marital Status,4,Widowed,,,,,,,,,,,,,
2017,Sample Adult,FID,,Marital Status,5,Divorced,,,,,,,,,,,,,
2017,Sample Adult,FID,,Marital Status,6,Separated,,,,,,,,,,,,,
2017,Sample Adult,FID,,Marital Status,7,Never married,,,,,,,,,,,,,
2017,Sample Adult,FID,,Marital Status,8,Living with partner,,,,,,,,,,,,,
2017,Sample Adult,FID,,Marital Status,9,Unknown marital status,,,,,,,,,,,,,
2017,Sample Adult,FID,PAR_STAT,Sample adult is parent to 1+ minor child(ren) in the family,,,FID,R01,RECODE,,,,ASTATFLG = 1,All sample adults,"ASTATFLG, CSTATFLG, AGE, FPX, FFATHER1, FMOTHER1",None,parental status,New recode for 2015.  PAR_STAT indicates whether the Sample Adult is a parent (type of relationship is not taken into account) of any child under age 18 who is not emancipated and resides in the same family as the Sample Adult. In cases where a household ,
2017,Sample Adult,FID,,Sample adult is parent to 1+ minor child(ren) in the family,1,"Yes, the Sample Adult is a parent of a child residing in the family",,,,,,,,,,,,,
2017,Sample Adult,FID,,Sample adult is parent to 1+ minor child(ren) in the family,2,There are minor children residing in the family but the Sample Adult is not their parent,,,,,,,,,,,,,
2017,Sample Adult,FID,,Sample adult is parent to 1+ minor child(ren) in the family,3,There are no minor children residing in the family,,,,,,,,,,,,,
2017,Sample Adult,FID,,Sample adult is parent to 1+ minor child(ren) in the family,9,Unknown,,,,,,,,,,,,,
2017,Sample Adult,AID,PROXYSA,Sample adult status,,,AID.005_00.000,, ,SADULT,SADULT,* The sample adult person is [fill: ALIAS of Sample Adult]. The next questions must be answered by this person.  Probe as necessary to determine the availability of [fill: ALIAS of Sample Adult].,ASTATFLG = '1',Sample adults aged 18+ years,None,None,None,"Category 3 (unknown sample adult proxy status) includes a relatively small number of cases that were unknown plus several hundred cases that were blank.  Blanks were partially completed sample adult interviews, and most of the cases were category 2 rather",
2017,Sample Adult,AID,,Sample adult status,1,Physical or mental condition prohibits responding,,,,,,,,,,,,,
2017,Sample Adult,AID,,Sample adult status,2,Sample adult is able to respond,,,,,,,,,,,,,
2017,Sample Adult,AID,,Sample adult status,3,Unknown,,,,,,,,,,,,,
2017,Sample Adult,AID,PROX1,Knowledgeable proxy for Sample Adult available,,,AID.010_00.000,, ,PROX1,PROX1,"* Proxy interviews can be done for sample adults who have a mental or physical condition that prevents them from responding for themselves.

Is a family member or caregiver that is knowledgeable about [fill: ALIAS of Sample Adult]'s health available?",PROXYSA = '1',Sample Adult's physical or mental condition prohibits responding.,None,None,None,None,
2017,Sample Adult,AID,,Knowledgeable proxy for Sample Adult available,1,Yes,,,,,,,,,,,,,
2017,Sample Adult,AID,,Knowledgeable proxy for Sample Adult available,2,No,,,,,,,,,,,,,
2017,Sample Adult,AID,PROX2,Relationship of SA proxy to SA,,,AID.015_00.000,, ,PROX2,PROX2,What is this person's relationship to [fill: ALIAS of Sample Adult]?,PROX1 = '1',Knowledgeable proxy is available.,None,None,None,None,
2017,Sample Adult,AID,,Relationship of SA proxy to SA,1,Relative who lives in household,,,,,,,,,,,,,
2017,Sample Adult,AID,,Relationship of SA proxy to SA,2,Relative who doesn't live in household,,,,,,,,,,,,,
2017,Sample Adult,AID,,Relationship of SA proxy to SA,3,Other caregiver,,,,,,,,,,,,,
2017,Sample Adult,AID,,Relationship of SA proxy to SA,4,Other,,,,,,,,,,,,,
2017,Sample Adult,AID,,Relationship of SA proxy to SA,7,Refused,,,,,,,,,,,,,
2017,Sample Adult,AID,,Relationship of SA proxy to SA,8,Not ascertained,,,,,,,,,,,,,
2017,Sample Adult,AID,,Relationship of SA proxy to SA,9,Don't know,,,,,,,,,,,,,
2017,Sample Adult,AID,SADATE,Date Sample Adult Core section was started,,,AID.025_00.000,, ,SADATE,SADATE,,PROXYSA = 1-3,Sample Adult section has been started with either the Sample Adult or a proxy.,None,None,None,Not for public-use release.,
2017,Sample Adult,AID,,Date Sample Adult Core section was started,Date,"Date Sample Adult Core section was started in ""mmddyyyy"" format",,,,,,,,,,,,,
2017,Sample Adult,AID,SAEND,Date Sample Adult section was completed,,,AID.560_00.000,,,SAEND,SAEND,,,ASTAT=1,None,None,None,Not for public-use release.,
2017,Sample Adult,AID,,Date Sample Adult section was completed,Date,"Date Sample Adult Core section was completed in ""mmddyyyy"" format",,,,,,,,,,,,,
2017,Sample Adult,AID,LATEINTA,Late Sample Adult interviews,,,AID.550_00.000,,,LATEINTA,,,,Generated variable: Sample Adult cases,None,None,None,None,
2017,Sample Adult,AID,,Late Sample Adult interviews,1,Started Sample Adult Core 2+ weeks after the initial interview,,,,,,,,,,,,,
2017,Sample Adult,AID,,Late Sample Adult interviews,2,Started Sample Adult Core less than 2 weeks after the initial interview,,,,,,,,,,,,,
2017,Sample Adult,AID,LNKINTRO,Linkage intro,,,AID.082_00.000,,,LNKINTRO,LNKINTRO,,ASTATFLG='1',Sample adults aged 18+ years,None,None,None,Not for public-use release.,
2017,Sample Adult,AID,,Linkage intro,1,Yes,,,,,,,,,,,,,
2017,Sample Adult,AID,,Linkage intro,7,Refused,,,,,,,,,,,,,
2017,Sample Adult,AID,,Linkage intro,8,Not ascertained,,,,,,,,,,,,,
2017,Sample Adult,AID,,Linkage intro,9,Don't know,,,,,,,,,,,,,
2017,Sample Adult,AID,SASN_FLG,SSN status for the Sample Adult,,,AID.086_00.000,,,SASN_FLG,,,,,None,None,None,Not for public-use release.,
2017,Sample Adult,AID,,SSN status for the Sample Adult,1,Last 4 digits of SSN reported,,,,,,,,,,,,,
2017,Sample Adult,AID,,SSN status for the Sample Adult,2,No SSN,,,,,,,,,,,,,
2017,Sample Adult,AID,,SSN status for the Sample Adult,7,Refused,,,,,,,,,,,,,
2017,Sample Adult,AID,,SSN status for the Sample Adult,8,Not ascertained,,,,,,,,,,,,,
2017,Sample Adult,AID,,SSN status for the Sample Adult,9,Don't know,,,,,,,,,,,,,
2017,Sample Adult,AID,SASSNRP4,Last four digits of SSN reported from memory or records,,,AID.090_00.000,,,SASSNRP4,SASSNRP4,,"ASTATFLG='1' and SASSN4 not IN('N','7','9',' ')",Sample adults aged 18+ years where the last four digits of the SSN were reported,None,None,None,Not for public-use release.,
2017,Sample Adult,AID,,Last four digits of SSN reported from memory or records,1,From memory,,,,,,,,,,,,,
2017,Sample Adult,AID,,Last four digits of SSN reported from memory or records,2,From records,,,,,,,,,,,,,
2017,Sample Adult,AID,,Last four digits of SSN reported from memory or records,8,Not ascertained,,,,,,,,,,,,,
2017,Sample Adult,AID,SASSNTL4,Last four digits of SSN reported in-person or by telephone,,,AID.095_00.000,,,SASSNTL4,SASSNTL4,,"ASTATFLG='1' and SASSNR4 IN(1,2)",Sample adults aged 18+ years where it was recorded how the last four digits of the SSN were reported,None,None,None,Not for public-use release.,
2017,Sample Adult,AID,,Last four digits of SSN reported in-person or by telephone,1,In person,,,,,,,,,,,,,
2017,Sample Adult,AID,,Last four digits of SSN reported in-person or by telephone,2,Telephone,,,,,,,,,,,,,
2017,Sample Adult,AID,,Last four digits of SSN reported in-person or by telephone,8,Not ascertained,,,,,,,,,,,,,
2017,Sample Adult,AID,MCNO_FLG,Medicare number status for the Sample Adult,,,AID.101_00.000,,,MCNO_FLG,,,,,None,None,None,Not for public-use release.,
2017,Sample Adult,AID,,Medicare number status for the Sample Adult,1,Last 4 digits of Medicare number reported,,,,,,,,,,,,,
2017,Sample Adult,AID,,Medicare number status for the Sample Adult,2,No Medicare number,,,,,,,,,,,,,
2017,Sample Adult,AID,,Medicare number status for the Sample Adult,7,Refused,,,,,,,,,,,,,
2017,Sample Adult,AID,,Medicare number status for the Sample Adult,8,Not ascertained,,,,,,,,,,,,,
2017,Sample Adult,AID,,Medicare number status for the Sample Adult,9,Don't know,,,,,,,,,,,,,
2017,Sample Adult,AID,SARLINK,Permission to link,,,AID.105_00.000,,,SARLINK,SARLINK,,"ASTATFLG='1' and (LNKINTRO='7' or SAMC_FLG IN ('R','D') or SASSN4 IN ('N','7','9'))","Sample adults aged 18+ years who answered ""refused"" at LNKINTRO  or answered ""refused"" or ""don't know"" at SAMCNO4 or answered ""no SSN"" or ""refused"" or ""don't know"" at SASSN4",None,None,None,Not for public-use release.,
2017,Sample Adult,AID,,Permission to link,1,Yes,,,,,,,,,,,,,
2017,Sample Adult,AID,,Permission to link,2,No,,,,,,,,,,,,,
2017,Sample Adult,AID,,Permission to link,7,Refused,,,,,,,,,,,,,
2017,Sample Adult,AID,,Permission to link,8,Not ascertained,,,,,,,,,,,,,
2017,Sample Adult,AID,,Permission to link,9,Don't know,,,,,,,,,,,,,
2017,Sample Adult,FDB,FDRN_FLG,Disability Questions flag,,,FDB.001_00.000,,,FDRN_FLG,FDRN_FLG,,,,None,None,Disability Questions Test; flag,This variable indicates whether the family was selected to receive the Family Disability (FDB; all persons 1 year and older) section.  Sample adults in families with a value of 2 for FDRN_FLG were also selected to receive the AFD (Adult Functioning and Di,
2017,Sample Adult,FDB,,Disability Questions flag,1,Families selected to receive AFD (sample adults) section,,,,,,,,,,,,,
2017,Sample Adult,FDB,,Disability Questions flag,2,Families selected to receive FDB (all persons 1 year and older) section,,,,,,,,,,,,,
2017,Sample Adult,ASD,DOINGLWA,Corrected employment status last week,,,ASD.062_00.000,, ,DOINGLWA,DOINGLW2,Corrected Employment Status Last Week,"ASTATFLG = '1' and (AGE GE '018' and AGE not IN ('997','999'))",Sample adults aged 18+ years,None,None,working; not working; looking for work,"DOINGLWA is the ASD equivalent of DOINGLWP in the FSD section (and both variables replace DOINGLW1, the employment status indicator found in previous NHIS data years).  For the majority of respondents, DOINGLWA and DOINGLWP will have the same values acros",
2017,Sample Adult,ASD,,Corrected employment status last week,1,Working for pay at a job or business,,,,,,,,,,,,,
2017,Sample Adult,ASD,,Corrected employment status last week,2,With a job or business but not at work,,,,,,,,,,,,,
2017,Sample Adult,ASD,,Corrected employment status last week,3,Looking for work,,,,,,,,,,,,,
2017,Sample Adult,ASD,,Corrected employment status last week,4,"Working, but not for pay, at a family-owned job or business",,,,,,,,,,,,,
2017,Sample Adult,ASD,,Corrected employment status last week,5,Not working at a job or business and not looking for work,,,,,,,,,,,,,
2017,Sample Adult,ASD,,Corrected employment status last week,7,Refused,,,,,,,,,,,,,
2017,Sample Adult,ASD,,Corrected employment status last week,8,Not ascertained,,,,,,,,,,,,,
2017,Sample Adult,ASD,,Corrected employment status last week,9,Don't know,,,,,,,,,,,,,
2017,Sample Adult,ASD,WHYNOWKA,Main reason for not working last week,,,ASD.065_00.000,, ,WHYNOWKA,WHYNOWK2, [If (DOINGLWA = '2'): What is the main reason you did not work last week? [Else if DOINGLWA = '5']: What is the main reason you did not have a job or business last week?,"ASTATFLG = '1' and AGE GE '018' and AGE not IN ('997','999') and DOINGLWA = '2','5'",Sample adults aged 18+ years whose corrected working status last week was not working at a job or business and not looking for work or with a job or business but not at work,None,None,not working; unemployed; retired; keeping house,"WHYNOWKA is the ASD equivalent of WHYNOWKP in the FSD section (and both variables replace WHYNOWK1, the variable that supplied reason for not working in previous NHIS data years).  For the majority of respondents, WHYNOWKA and WHYNOWKP will have the same ",
2017,Sample Adult,ASD,,Main reason for not working last week,01,Taking care of house or family,,,,,,,,,,,,,
2017,Sample Adult,ASD,,Main reason for not working last week,02,Going to school,,,,,,,,,,,,,
